countries,diversity,Fitness,ECI
Afghanistan,2.0,1.028940496169143e-206,-0.12212436640543077
Albania,3.0,1.0670973125568962e-106,-0.060678967041837076
Algeria,10.0,0.06052152944467519,-0.016286346179587605
Andorra,3.0,2.3464521995267632e-206,-0.11329503360523582
Angola,7.0,0.35240271498991654,-0.05063061414711771
Antigua and Barbuda,2.0,1.6642996355120728e-206,-0.08997089729931547
Argentina,35.0,3.933088538771169,0.03226384451201283
Armenia,4.0,3.124973748601963e-206,-0.10198049566987583
Australia,41.0,7.156223375019275,0.03799173191248757
Austria,12.0,0.0873498518149206,0.005405195781464645
Azerbaijan,2.0,1.028940496169143e-206,-0.12212436640543152
Bahamas,2.0,2.2032897897944934e-206,-0.10377064036984025
Bahrain,1.0,7.785215490751997e-207,-0.06803688186379563
Bangladesh,9.0,0.036860149947075704,-0.03222175870780929
Barbados,3.0,1.8074620452443426e-206,-0.10409520489155286
Belarus,11.0,0.027636433455523256,-0.028242026870747353
Belgium,20.0,4.06977552696865,0.02994650471314026
Belize,3.0,9.040160130828094e-178,-0.08234595715925289
Benin,3.0,2.4483695160093454e-92,-0.05594895484940941
Bhutan,11.0,0.13047990286303832,-0.007219654078683598
"Bolivia, Plurinational State of",1.0,7.785215490751997e-207,-0.06803688186379563
Bosnia and Herzegovina,4.0,7.623673815499137e-92,-0.05836665725411106
Botswana,3.0,1.8074620452443426e-206,-0.10409520489155287
Brazil,39.0,6.449235995858255,0.032077575720253416
Brunei Darussalam,4.0,9.040160130828094e-178,-0.0966355675884109
Bulgaria,18.0,0.11365933585681526,0.010439976975915045
Burkina Faso,1.0,1.4316240973226998e-207,-0.1323438200760278
Burundi,2.0,1.4606741130898904e-206,-0.11399009404043645
Cambodia,3.0,2.4483695160093454e-92,-0.07738460092015341
Cameroon,7.0,0.03924972774553154,-0.013317274257948429
Canada,39.0,9.513215287860183,0.041892036205564524
Cape Verde,4.0,9.040160130828094e-178,-0.0966355675884109
Central African Republic,1.0,1.4316240973226998e-207,-0.1323438200760278
Chad,1.0,1.4316240973226998e-207,-0.1323438200760278
Chile,25.0,1.181484827155172,0.02040331015641355
China,44.0,7.128718720667905,0.03232736851278078
Colombia,23.0,0.7645036265525129,0.019151463550946338
"Congo, the Democratic Republic of the",5.0,0.011758684007916534,-0.026298576232722075
Cook Islands,1.0,8.857780864368731e-207,-0.11190491273483534
Costa Rica,9.0,0.30824810274862524,-0.02799303993934051
Croatia,4.0,1.5247347630998547e-91,0.002592709500308515
Cuba,6.0,0.0015385179478532096,-0.06411344914441428
Cyprus,3.0,0.0001946504249433519,0.019113663957412222
Czechia,10.0,0.010564106164022606,-0.03360487107723599
Cte d'Ivoire,2.0,1.028940496169143e-206,-0.12212436640543152
Democratic People's Republic of Korea,4.0,0.010282531520173707,-0.037092485447863074
Denmark,29.0,2.0802623168082914,0.02127905327706216
Djibouti,2.0,1.028940496169143e-206,-0.12212436640543152
Dominica,2.0,1.4606741130898904e-206,-0.11399009404043645
Dominican Republic,10.0,0.019752363477520702,-0.01581292016634389
Ecuador,11.0,0.025752834209610987,-0.012460873393693435
Egypt,10.0,0.01643285444677382,-0.0026466470673025926
El Salvador,5.0,0.051921939836321096,-0.005100497423997541
Equatorial Guinea,1.0,1.4316240973226998e-207,-0.1323438200760278
Eritrea,1.0,1.4316240973226998e-207,-0.1323438200760278
Estonia,2.0,7.623673815499367e-92,0.012115263856001717
Ethiopia,5.0,1.0670973125582151e-106,-0.08404921736796526
Fiji,4.0,9.040160130828094e-178,-0.0966355675884109
Finland,10.0,0.32645867662497086,0.0174449413983472
France,41.0,9.767649920308926,0.03245951109578639
French Polynesia,2.0,1.4606741130898904e-206,-0.11399009404043645
Gabon,5.0,1.0670973125582151e-106,-0.08404921736796526
Gambia,4.0,1.0670973125582151e-106,-0.07708529352624774
Georgia,13.0,0.12672992379940315,0.0015329464269285096
Germany,43.0,12.677660969739977,0.03568215619073854
Ghana,5.0,2.1341946251151116e-106,-0.062275417123307454
Greece,14.0,0.10129343715149886,0.007126963989505467
Greenland,1.0,7.785215490751997e-207,-0.06803688186379563
Grenada,4.0,3.124973748601963e-206,-0.10198049566987583
Guatemala,8.0,0.20813875946237612,-0.046159925377925355
Guinea,3.0,1.8074620452443426e-206,-0.10409520489155287
Guinea-Bissau,3.0,9.040160130828094e-178,-0.09696863411626616
Guyana,3.0,2.9818113388696934e-206,-0.09185938753449206
Haiti,1.0,1.4316240973226998e-207,-0.1323438200760278
Honduras,4.0,5.335486509425105e-106,-0.087823565275613
Hungary,7.0,0.0074752757138378725,-0.01207038179584399
Iceland,4.0,6.402583821982001e-106,-0.06060631496979076
India,42.0,14.208223045848843,0.035391341888542316
Indonesia,33.0,1.5461632559084328,0.02021528322098857
Iran,16.0,7.018877021292469,0.022393994284460567
Iraq,4.0,0.0046932877939298845,-0.03066304158672627
Ireland,11.0,0.009088516191773675,-0.011070773805394823
Israel,9.0,0.03783461629672203,-0.02309329783411018
Italy,40.0,10.390980096044178,0.03334631871182624
Jamaica,5.0,0.008122410814396852,-0.0723011652286604
Japan,45.0,11.874994868631346,0.03172002046277233
Jordan,4.0,1.0670973125568962e-106,-0.07476324536405347
Kazakhstan,18.0,0.20922803851236746,0.012088412621123343
Kenya,5.0,6.40258382198332e-106,-0.06395006687834708
Kiribati,2.0,9.216839588074698e-207,-0.1001903509699116
Kuwait,11.0,2.1575568870988064,0.032461824601685334
Kyrgyzstan,2.0,1.4606741130898904e-206,-0.11399009404043645
Lao People's Democratic Republic,3.0,2.3464521995267632e-206,-0.11329503360523603
Latvia,3.0,1.5247347630998492e-91,0.007259999429326049
Lebanon,4.0,9.040160130828094e-178,-0.0966355675884109
Lesotho,1.0,1.4316240973226998e-207,-0.1323438200760278
Liberia,3.0,9.040160130828094e-178,-0.09696863411626616
Libyan Arab Jamahiriya,1.0,1.0670973125568962e-106,-0.0030359115115459316
Liechtenstein,3.0,5.335486509425105e-106,-0.07979644945587225
Lithuania,3.0,7.62367381549942e-92,0.004273789141753161
Luxembourg,5.0,0.0001946504249433519,-0.009940907283870532
"Macedonia, the former Yugoslav Republic of",6.0,7.623673815499137e-92,-0.06533811854820247
Madagascar,3.0,2.2391956621650902e-206,-0.09867235664822274
Malawi,4.0,2.4483695160093454e-92,-0.07504767115606394
Malaysia,15.0,2.6015947117408658,-0.008281882713514746
Maldives,4.0,3.124973748601963e-206,-0.10198049566987583
Mali,2.0,1.028940496169143e-206,-0.12212436640543152
Malta,2.0,7.623673815499367e-92,0.012115263856001717
Marshall Islands,4.0,9.040160130828094e-178,-0.0966355675884109
Mauritania,1.0,1.4316240973226998e-207,-0.1323438200760278
Mauritius,2.0,1.028940496169143e-206,-0.12212436640543152
Mexico,38.0,11.050472903306797,0.030676032863843156
"Micronesia, Federated States of",5.0,5.335486509425105e-106,-0.0708166799538696
"Moldova, Republic of",4.0,7.623673815499137e-92,-0.05836665725411106
Monaco,3.0,2.3464521995267632e-206,-0.11329503360523603
Mongolia,9.0,0.07419880824747094,-0.01557258953588038
Montenegro,5.0,1.0670973125568962e-106,-0.06914203019882993
Morocco,12.0,0.09708370444660472,-0.019207867422207196
Mozambique,9.0,0.03437410762475295,-0.015543190897215134
Myanmar,2.0,1.0670973125582151e-106,-0.040180493012059275
Namibia,3.0,2.2391956621650902e-206,-0.09867235664822274
Nauru,2.0,9.040160130828094e-178,-0.07928104113638537
Nepal,4.0,3.124973748601963e-206,-0.10198049566987583
Netherlands,10.0,0.018784068458669333,-0.030301452625211937
New Zealand,12.0,0.0259213411832589,-0.02728803571943762
Nicaragua,3.0,2.3464521995267632e-206,-0.11329503360523603
Niger,3.0,9.040160130828094e-178,-0.09696863411626616
Nigeria,11.0,0.028520087622623314,-0.02569504335340873
Niue,2.0,1.6642996355120728e-206,-0.0899708972993155
Norway,25.0,2.1032025939514427,0.03318351318255847
Oman,1.0,1.4316240973226998e-207,-0.1323438200760278
Pakistan,18.0,0.4962066983294427,0.016137569112236134
Palau,5.0,7.62367381549941e-92,-0.05500972468239862
Panama,3.0,2.3464521995267632e-206,-0.11329503360523603
Papua New Guinea,4.0,5.335486509425105e-106,-0.087823565275613
Paraguay,4.0,3.124973748601963e-206,-0.10198049566987583
Peru,12.0,0.06842030571342747,-0.005918773867954848
Philippines,11.0,0.009783184609996854,-0.024142378277941134
Poland,8.0,0.016255734386310956,-0.011330873642267406
